,level_0,index,Iso3,StartDate,EndDate,Area,Item Code,Item,Element,Year,Months Code,Months,Value
433,433,6011,MYS,01/01/2008,31/12/2008,Malaysia,702,"Nutmeg, mace and cardamoms",Producer Price Index (2014-2016 = 100),2008,7021,Annual value,97
434,434,6012,MYS,01/01/2009,31/12/2009,Malaysia,702,"Nutmeg, mace and cardamoms",Producer Price Index (2014-2016 = 100),2009,7021,Annual value,79
435,435,6013,MYS,01/01/2010,31/12/2010,Malaysia,702,"Nutmeg, mace and cardamoms",Producer Price Index (2014-2016 = 100),2010,7021,Annual value,106
436,436,6014,MYS,01/01/2011,31/12/2011,Malaysia,702,"Nutmeg, mace and cardamoms",Producer Price Index (2014-2016 = 100),2011,7021,Annual value,132
437,437,6015,MYS,01/01/2012,31/12/2012,Malaysia,702,"Nutmeg, mace and cardamoms",Producer Price Index (2014-2016 = 100),2012,7021,Annual value,118
438,438,6016,MYS,01/01/2013,31/12/2013,Malaysia,702,"Nutmeg, mace and cardamoms",Producer Price Index (2014-2016 = 100),2013,7021,Annual value,111
439,439,6017,MYS,01/01/2014,31/12/2014,Malaysia,702,"Nutmeg, mace and cardamoms",Producer Price Index (2014-2016 = 100),2014,7021,Annual value,111
440,440,6018,MYS,01/01/2015,31/12/2015,Malaysia,702,"Nutmeg, mace and cardamoms",Producer Price Index (2014-2016 = 100),2015,7021,Annual value,91
441,441,6019,MYS,01/01/2016,31/12/2016,Malaysia,702,"Nutmeg, mace and cardamoms",Producer Price Index (2014-2016 = 100),2016,7021,Annual value,98
442,442,6020,MYS,01/01/2017,31/12/2017,Malaysia,702,"Nutmeg, mace and cardamoms",Producer Price Index (2014-2016 = 100),2017,7021,Annual value,99
443,443,6021,MYS,01/01/2018,31/12/2018,Malaysia,702,"Nutmeg, mace and cardamoms",Producer Price Index (2014-2016 = 100),2018,7021,Annual value,98
444,444,6022,MYS,01/01/2019,31/12/2019,Malaysia,702,"Nutmeg, mace and cardamoms",Producer Price Index (2014-2016 = 100),2019,7021,Annual value,101
445,445,7905,MYS,01/01/1991,31/12/1991,Malaysia,149,Roots and tubers nes,Producer Price Index (2014-2016 = 100),1991,7021,Annual value,43
446,446,7906,MYS,01/01/1992,31/12/1992,Malaysia,149,Roots and tubers nes,Producer Price Index (2014-2016 = 100),1992,7021,Annual value,43
447,447,7907,MYS,01/01/1993,31/12/1993,Malaysia,149,Roots and tubers nes,Producer Price Index (2014-2016 = 100),1993,7021,Annual value,44
448,448,7908,MYS,01/01/1994,31/12/1994,Malaysia,149,Roots and tubers nes,Producer Price Index (2014-2016 = 100),1994,7021,Annual value,45
449,449,7909,MYS,01/01/1995,31/12/1995,Malaysia,149,Roots and tubers nes,Producer Price Index (2014-2016 = 100),1995,7021,Annual value,45
450,450,7910,MYS,01/01/1996,31/12/1996,Malaysia,149,Roots and tubers nes,Producer Price Index (2014-2016 = 100),1996,7021,Annual value,46
451,451,7911,MYS,01/01/1997,31/12/1997,Malaysia,149,Roots and tubers nes,Producer Price Index (2014-2016 = 100),1997,7021,Annual value,46
452,452,7912,MYS,01/01/1998,31/12/1998,Malaysia,149,Roots and tubers nes,Producer Price Index (2014-2016 = 100),1998,7021,Annual value,48
453,453,7913,MYS,01/01/1999,31/12/1999,Malaysia,149,Roots and tubers nes,Producer Price Index (2014-2016 = 100),1999,7021,Annual value,48
454,454,7914,MYS,01/01/2000,31/12/2000,Malaysia,149,Roots and tubers nes,Producer Price Index (2014-2016 = 100),2000,7021,Annual value,50
455,455,7915,MYS,01/01/2001,31/12/2001,Malaysia,149,Roots and tubers nes,Producer Price Index (2014-2016 = 100),2001,7021,Annual value,48
456,456,7916,MYS,01/01/2002,31/12/2002,Malaysia,149,Roots and tubers nes,Producer Price Index (2014-2016 = 100),2002,7021,Annual value,50
457,457,7917,MYS,01/01/2003,31/12/2003,Malaysia,149,Roots and tubers nes,Producer Price Index (2014-2016 = 100),2003,7021,Annual value,52
458,458,7918,MYS,01/01/2004,31/12/2004,Malaysia,149,Roots and tubers nes,Producer Price Index (2014-2016 = 100),2004,7021,Annual value,56
459,459,7919,MYS,01/01/2005,31/12/2005,Malaysia,149,Roots and tubers nes,Producer Price Index (2014-2016 = 100),2005,7021,Annual value,56
460,460,7920,MYS,01/01/2006,31/12/2006,Malaysia,149,Roots and tubers nes,Producer Price Index (2014-2016 = 100),2006,7021,Annual value,62
461,461,7921,MYS,01/01/2007,31/12/2007,Malaysia,149,Roots and tubers nes,Producer Price Index (2014-2016 = 100),2007,7021,Annual value,85
462,462,7922,MYS,01/01/2008,31/12/2008,Malaysia,149,Roots and tubers nes,Producer Price Index (2014-2016 = 100),2008,7021,Annual value,97
463,463,7923,MYS,01/01/2009,31/12/2009,Malaysia,149,Roots and tubers nes,Producer Price Index (2014-2016 = 100),2009,7021,Annual value,79
464,464,7924,MYS,01/01/2010,31/12/2010,Malaysia,149,Roots and tubers nes,Producer Price Index (2014-2016 = 100),2010,7021,Annual value,106
465,465,7925,MYS,01/01/2011,31/12/2011,Malaysia,149,Roots and tubers nes,Producer Price Index (2014-2016 = 100),2011,7021,Annual value,132
466,466,7926,MYS,01/01/2012,31/12/2012,Malaysia,149,Roots and tubers nes,Producer Price Index (2014-2016 = 100),2012,7021,Annual value,118
467,467,7927,MYS,01/01/2013,31/12/2013,Malaysia,149,Roots and tubers nes,Producer Price Index (2014-2016 = 100),2013,7021,Annual value,111
468,468,7928,MYS,01/01/2014,31/12/2014,Malaysia,149,Roots and tubers nes,Producer Price Index (2014-2016 = 100),2014,7021,Annual value,111
469,469,7929,MYS,01/01/2015,31/12/2015,Malaysia,149,Roots and tubers nes,Producer Price Index (2014-2016 = 100),2015,7021,Annual value,91
470,470,7930,MYS,01/01/2016,31/12/2016,Malaysia,149,Roots and tubers nes,Producer Price Index (2014-2016 = 100),2016,7021,Annual value,98
471,471,7931,MYS,01/01/2017,31/12/2017,Malaysia,149,Roots and tubers nes,Producer Price Index (2014-2016 = 100),2017,7021,Annual value,99
472,472,7932,MYS,01/01/2018,31/12/2018,Malaysia,149,Roots and tubers nes,Producer Price Index (2014-2016 = 100),2018,7021,Annual value,98
